                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.06497,                      1,                      1,                0.13552,             0.00023506,             0.00023506,             0.00023506
                      1,                0.00791,                      1,                      1,                0.13349,             0.00042623,             0.00042623,             0.00042623
                      2,                0.00116,                      1,                      1,                0.13316,             0.00057027,             0.00057027,             0.00057027
                      3,                 0.0004,                      1,                      1,                0.13308,             0.00050194,             0.00050194,             0.00050194
                      4,                0.00027,                      1,                      1,                0.13304,             0.00050194,             0.00050194,             0.00050194
                      5,                0.00017,                      1,                      1,                  0.133,             0.00043126,             0.00043126,             0.00043126
                      6,                0.00024,                      1,                      1,                0.13298,             0.00036057,             0.00036057,             0.00036057
                      7,                0.00028,                      1,                      1,                0.13306,             0.00028988,             0.00028988,             0.00028988
                      8,                  9e-05,                      1,                      1,                0.13302,              0.0002192,              0.0002192,              0.0002192
                      9,                0.00077,                      1,                      1,                0.13363,             0.00014851,             0.00014851,             0.00014851
